date,consumption
7/7/10 0:00,22.2
7/7/10 1:00,22.9
7/7/10 2:00,12
7/7/10 3:00,4.7
7/7/10 4:00,4.5
7/7/10 5:00,22.6
7/7/10 6:00,42.6
7/7/10 7:00,42.9
7/7/10 8:00,39.4
7/7/10 9:00,45.6
7/7/10 10:00,41.7
7/7/10 11:00,41.6
7/7/10 12:00,39.5
7/7/10 13:00,37.2
7/7/10 14:00,40.1
7/7/10 15:00,37
7/7/10 16:00,39.8
7/7/10 17:00,40.1
7/7/10 18:00,44.8
7/7/10 19:00,44.3
7/7/10 20:00,36.8
7/7/10 21:00,31.2
7/7/10 22:00,5.2
7/7/10 23:00,15.2
7/8/10 0:00,22.9
7/8/10 1:00,20.6
7/8/10 2:00,4.8
7/8/10 3:00,4.8
7/8/10 4:00,4.8
7/8/10 5:00,22.6
7/8/10 6:00,45.3
7/8/10 7:00,44.4
7/8/10 8:00,39.8
7/8/10 9:00,43.2
7/8/10 10:00,42.3
7/8/10 11:00,44.1
7/8/10 12:00,37.9
7/8/10 13:00,39.4
7/8/10 14:00,35.8
7/8/10 15:00,38.2
7/8/10 16:00,37.2
7/8/10 17:00,40.2
7/8/10 18:00,41
7/8/10 19:00,38.1
7/8/10 20:00,38.4
7/8/10 21:00,13.8
7/8/10 22:00,9.5
7/8/10 23:00,22
7/9/10 0:00,20
7/9/10 1:00,11.5
7/9/10 2:00,4.7
7/9/10 3:00,4.7
7/9/10 4:00,4.8
7/9/10 5:00,22.8
7/9/10 6:00,46.1
7/9/10 7:00,39
7/9/10 8:00,38.1
7/9/10 9:00,43.7
7/9/10 10:00,47.1
7/9/10 11:00,43.3
7/9/10 12:00,40.7
7/9/10 13:00,37.3
7/9/10 14:00,39
7/9/10 15:00,36.5
7/9/10 16:00,38.7
7/9/10 17:00,38.5
7/9/10 18:00,40.3
7/9/10 19:00,35.3
7/9/10 20:00,15
7/9/10 21:00,5.1
7/9/10 22:00,5.3
7/9/10 23:00,4.8
7/10/10 0:00,19.2
7/10/10 1:00,14.4
7/10/10 2:00,4.7
7/10/10 3:00,4.7
7/10/10 4:00,4.8
7/10/10 5:00,4.8
7/10/10 6:00,25.4
7/10/10 7:00,43.9
7/10/10 8:00,41.4
7/10/10 9:00,48.7
7/10/10 10:00,49.8
7/10/10 11:00,42.7
7/10/10 12:00,40.9
7/10/10 13:00,38.1
7/10/10 14:00,43.5
7/10/10 15:00,40.4
7/10/10 16:00,41.4
7/10/10 17:00,30.3
7/10/10 18:00,11.8
7/10/10 19:00,5.1
7/10/10 20:00,5
7/10/10 21:00,5
7/10/10 22:00,5.2
7/10/10 23:00,4.8
7/11/10 0:00,9.4
7/11/10 1:00,4.7
7/11/10 2:00,4.8
7/11/10 3:00,21.7
7/11/10 4:00,12.7
7/11/10 5:00,4.9
7/11/10 6:00,5
7/11/10 7:00,6.8
7/11/10 8:00,31.5
7/11/10 9:00,39.4
7/11/10 10:00,45.8
7/11/10 11:00,39.8
7/11/10 12:00,38.8
7/11/10 13:00,41.3
7/11/10 14:00,40.6
7/11/10 15:00,40.6
7/11/10 16:00,40.2
7/11/10 17:00,28
7/11/10 18:00,9.6
7/11/10 19:00,5.2
7/11/10 20:00,5
7/11/10 21:00,5.1
7/11/10 22:00,5.2
7/11/10 23:00,17.9
7/12/10 0:00,20.1
7/12/10 1:00,4.7
7/12/10 2:00,4.8
7/12/10 3:00,4.7
7/12/10 4:00,4.9
7/12/10 5:00,19.9
7/12/10 6:00,36.5
7/12/10 7:00,36.3
7/12/10 8:00,37.1
7/12/10 9:00,44.7
7/12/10 10:00,44.6
7/12/10 11:00,43.8
7/12/10 12:00,37.5
7/12/10 13:00,39.4
7/12/10 14:00,41.3
7/12/10 15:00,37.2
7/12/10 16:00,39.7
7/12/10 17:00,43.9
7/12/10 18:00,46.2
7/12/10 19:00,50
7/12/10 20:00,42.8
7/12/10 21:00,29
7/12/10 22:00,5.3
7/12/10 23:00,11.2
7/13/10 0:00,22.2
7/13/10 1:00,15.7
7/13/10 2:00,4.8
7/13/10 3:00,4.9
7/13/10 4:00,6.1
7/13/10 5:00,18.2
7/13/10 6:00,37
7/13/10 7:00,41.7
7/13/10 8:00,37.7
7/13/10 9:00,44.7
7/13/10 10:00,47.1
7/13/10 11:00,47.2
7/13/10 12:00,41.3
7/13/10 13:00,39.6
7/13/10 14:00,40.9
7/13/10 15:00,39
7/13/10 16:00,44.5
7/13/10 17:00,42.7
7/13/10 18:00,48.3
7/13/10 19:00,46.3
7/13/10 20:00,43.9
7/13/10 21:00,31.8
7/13/10 22:00,5.3
7/13/10 23:00,9.1
7/14/10 0:00,21.4
7/14/10 1:00,16.9
7/14/10 2:00,4.8
7/14/10 3:00,4.8
7/14/10 4:00,4.9
7/14/10 5:00,11.9
7/14/10 6:00,38.9
7/14/10 7:00,40
7/14/10 8:00,39.9
7/14/10 9:00,45.4
7/14/10 10:00,45.4
7/14/10 11:00,47.3
7/14/10 12:00,42.9
7/14/10 13:00,42.7
7/14/10 14:00,45.8
7/14/10 15:00,46.8
7/14/10 16:00,41
7/14/10 17:00,42
7/14/10 18:00,42.7
7/14/10 19:00,43.6
7/14/10 20:00,39.7
7/14/10 21:00,31.4
7/14/10 22:00,5.2
7/14/10 23:00,8.2
7/15/10 0:00,17.6
7/15/10 1:00,18.8
7/15/10 2:00,4.7
7/15/10 3:00,4.8
7/15/10 4:00,4.9
7/15/10 5:00,18.9
7/15/10 6:00,37.4
7/15/10 7:00,37.9
7/15/10 8:00,40.9
7/15/10 9:00,44.4
7/15/10 10:00,43.1
7/15/10 11:00,43.3
7/15/10 12:00,41.2
7/15/10 13:00,39
7/15/10 14:00,43.6
7/15/10 15:00,44.6
7/15/10 16:00,40.1
7/15/10 17:00,41.7
7/15/10 18:00,46.5
7/15/10 19:00,40.6
7/15/10 20:00,39
7/15/10 21:00,17.1
7/15/10 22:00,5.3
7/15/10 23:00,4.9
7/16/10 0:00,8.6
7/16/10 1:00,4.7
7/16/10 2:00,5.2
7/16/10 3:00,22.2
7/16/10 4:00,14.1
7/16/10 5:00,22.3
7/16/10 6:00,44
7/16/10 7:00,44.1
7/16/10 8:00,39.1
7/16/10 9:00,45.7
7/16/10 10:00,45
7/16/10 11:00,42.7
7/16/10 12:00,42
7/16/10 13:00,37.2
7/16/10 14:00,41.6
7/16/10 15:00,44.7
7/16/10 16:00,39.7
7/16/10 17:00,40.8
7/16/10 18:00,40.5
7/16/10 19:00,37.3
7/16/10 20:00,15.6
7/16/10 21:00,5.3
7/16/10 22:00,5.1
7/16/10 23:00,8.4
7/17/10 0:00,21.4
7/17/10 1:00,22
7/17/10 2:00,4.7
7/17/10 3:00,4.7
7/17/10 4:00,4.7
7/17/10 5:00,4.8
7/17/10 6:00,23.5
7/17/10 7:00,43.7
7/17/10 8:00,46.6
7/17/10 9:00,50.3
7/17/10 10:00,48.3
7/17/10 11:00,42.3
7/17/10 12:00,39.8
7/17/10 13:00,41.5
7/17/10 14:00,43
7/17/10 15:00,45.8
7/17/10 16:00,39.9
7/17/10 17:00,32.5
7/17/10 18:00,11.3
7/17/10 19:00,5.2
7/17/10 20:00,5.2
7/17/10 21:00,5.1
7/17/10 22:00,5.2
7/17/10 23:00,15.9
7/18/10 0:00,21.7
7/18/10 1:00,14.1
7/18/10 2:00,4.7
7/18/10 3:00,4.7
7/18/10 4:00,4.7
7/18/10 5:00,4.9
7/18/10 6:00,5
7/18/10 7:00,5.5
7/18/10 8:00,38.4
7/18/10 9:00,46.7
